itemId,name,imageUrl,price,quantity,preparationTimeInMinutes,available
3N9TVTCD3L,Chocolate Fantasy (Pack Of 5),http://raghuveer.me/images/1966066.jpg,370,75,233,1
M531WZ5C7N,Pan Cake (Pack Of 6),http://raghuveer.me/images/1648749.jpg,276,117,193,1
MGP9TTKMJD,Gulab Jamun (Pack Of 10),http://raghuveer.me/images/189532.jpg,340,48,20,1
C1SA4RFZLO,Gulkand Shot (Pack Of 5),http://raghuveer.me/images/1367358.jpg,451,39,238,1
5SXKY06GNG,Chocolate Decadence (Pack of 2),http://raghuveer.me/images/2728934.jpg,590,97,72,1
9LKZYO1X1O,CheeseCake (Pack Of 2),http://raghuveer.me/images/160609.jpg,613,82,246,1
EKZ6YAJ7U4,Red Velvet Slice Cake (Pack of 2),http://raghuveer.me/images/239923.jpg,429,22,197,1
H0FJTCCE88,Red Velvet Slice Cake & Cheese Cake (Pack of 2),http://raghuveer.me/images/2248973.jpg,404,73,225,1
0K9GL668GZ,Red Velvet Slice Cake & Chocolate Decadence Cake (Pack of 2),http://raghuveer.me/images/2126352.jpg,668,56,225,1
3FQZFNCC8Q,Hazelnut Brownie (Pack of 2),http://raghuveer.me/images/2174370.jpg,331,66,195,1
FOBPESDIF8,Moments,http://raghuveer.me/images/1381321.jpg,288,61,183,1
HW3NJDRB7U,Red Velvet Cake With Butter Cream Frosting (750 Gm),http://raghuveer.me/images/1662524.jpg,365,105,170,1
LOGQ8QWQFE,Red Velvet Slice Cake (Pack of 1),http://raghuveer.me/images/1166300.jpg,653,43,250,1
5CAAY7HHHF,Valentine Red Velvet Jar,http://raghuveer.me/images/1991269.jpg,385,85,193,1
L61LTNEV0L,Valentine Chocolate Jar,http://raghuveer.me/images/1976149.jpg,319,86,64,1
71FEUAD5BT,Valentines Jar Combo,http://raghuveer.me/images/1851264.jpg,547,14,24,1
C0DC72VA6K,Pink Guava 500 ML,http://raghuveer.me/images/1545206.jpg,687,55,249,1
PW81LPO8J6,Oreo Vanilla 500 ML,http://raghuveer.me/images/1764646.jpg,486,20,143,1
JCBX14K08P,Cookie Crumble 500 ML,http://raghuveer.me/images/2598673.jpg,424,27,208,1
EF4GT2MMXD,Chocolate Fantasy,http://raghuveer.me/images/2359390.jpg,440,114,53,1
6H6ZQNF3JV,Gulkand-E-Bahar,http://raghuveer.me/images/132686.jpg,294,106,234,1
FU7GZ2HO5Z,Pan Cake,http://raghuveer.me/images/250720.jpg,366,21,36,1
3LO0OXBUFO,Hazelnut Brownie (Pack Of 1),http://raghuveer.me/images/2754441.jpg,400,120,110,1
AW5D57FYB9,Gulab Jamun (Pack Of 2),http://raghuveer.me/images/1103988.jpg,689,37,233,1
LEZ7AQ2YB7,Plum Cake,http://raghuveer.me/images/1088275.jpg,351,56,10,1
G17NAJYTLD,Chocolate Mud Cake (700 Gms),http://raghuveer.me/images/2088887.jpg,334,60,236,1
OVBJ8BWFYU,CheeseCake (Pack of 1),http://raghuveer.me/images/1717548.jpg,671,76,41,1
VMQ0GZHK83,Chocolate Decadence (Pack of 1),http://raghuveer.me/images/2101820.jpg,388,95,145,1
90LEL5PU7O,Chole Kulcha Meal,http://raghuveer.me/images/2518219.jpg,359,71,96,1
7FBI4BE39V,Upvas Aloo Paratha With Dahi,http://raghuveer.me/images/2282416.jpg,426,101,205,1
GCMC781TAW,Singhada Aloo Paratha with Hare Tamatar Ki Sabji,http://raghuveer.me/images/2441453.jpg,567,49,73,1
4QVPJEMALY,Smoked Butter Chicken Combo,http://raghuveer.me/images/2118552.jpg,515,39,94,1
AX5KOAWRDI,Paneer Methi Chaman Combo,http://raghuveer.me/images/2331438.jpg,587,118,203,1
5B12RW1NA0,Mutton Bhuna Combo,http://raghuveer.me/images/2049073.jpg,288,87,35,1
KJHQCAD13K,Rajma Masala Meal,http://raghuveer.me/images/1381321.jpg,319,38,214,1
5KDZ6CL80T,Dal Makhani Veg Starter Combo,http://raghuveer.me/images/2459324.jpg,480,98,112,1
U1EP8780XQ,Dal Makhani Non-Veg Starter Combo,http://raghuveer.me/images/1413064.jpg,513,27,240,1
