itemId,name,imageUrl,price
3N9TVTCD3L,Chocolate Fantasy (Pack Of 5),http://raghuveer.me/images/1966066.jpg,370
M531WZ5C7N,Pan Cake (Pack Of 6),http://raghuveer.me/images/1648749.jpg,276
MGP9TTKMJD,Gulab Jamun (Pack Of 10),http://raghuveer.me/images/189532.jpg,340
C1SA4RFZLO,Gulkand Shot (Pack Of 5),http://raghuveer.me/images/1367358.jpg,451
5SXKY06GNG,Chocolate Decadence (Pack of 2),http://raghuveer.me/images/2728934.jpg,590
9LKZYO1X1O,CheeseCake (Pack Of 2),http://raghuveer.me/images/160609.jpg,613
EKZ6YAJ7U4,Red Velvet Slice Cake (Pack of 2),http://raghuveer.me/images/239923.jpg,429
H0FJTCCE88,Red Velvet Slice Cake & Cheese Cake (Pack of 2),http://raghuveer.me/images/2248973.jpg,404
0K9GL668GZ,Red Velvet Slice Cake & Chocolate Decadence Cake (Pack of 2),http://raghuveer.me/images/2126352.jpg,668
3FQZFNCC8Q,Hazelnut Brownie (Pack of 2),http://raghuveer.me/images/2174370.jpg,331
FOBPESDIF8,Moments,http://raghuveer.me/images/1381321.jpg,288
HW3NJDRB7U,Red Velvet Cake With Butter Cream Frosting (750 Gm),http://raghuveer.me/images/1662524.jpg,365
LOGQ8QWQFE,Red Velvet Slice Cake (Pack of 1),http://raghuveer.me/images/1166300.jpg,653
5CAAY7HHHF,Valentine Red Velvet Jar,http://raghuveer.me/images/1991269.jpg,385
L61LTNEV0L,Valentine Chocolate Jar,http://raghuveer.me/images/1976149.jpg,319
71FEUAD5BT,Valentines Jar Combo,http://raghuveer.me/images/1851264.jpg,547
C0DC72VA6K,Pink Guava 500 ML,http://raghuveer.me/images/1545206.jpg,687
PW81LPO8J6,Oreo Vanilla 500 ML,http://raghuveer.me/images/1764646.jpg,486
JCBX14K08P,Cookie Crumble 500 ML,http://raghuveer.me/images/2598673.jpg,424
EF4GT2MMXD,Chocolate Fantasy,http://raghuveer.me/images/2359390.jpg,440
6H6ZQNF3JV,Gulkand-E-Bahar,http://raghuveer.me/images/132686.jpg,294
FU7GZ2HO5Z,Pan Cake,http://raghuveer.me/images/250720.jpg,366
3LO0OXBUFO,Hazelnut Brownie (Pack Of 1),http://raghuveer.me/images/2754441.jpg,400
AW5D57FYB9,Gulab Jamun (Pack Of 2),http://raghuveer.me/images/1103988.jpg,689
LEZ7AQ2YB7,Plum Cake,http://raghuveer.me/images/1088275.jpg,351
